fold,epoch,train_loss,val_loss,val_mse,val_mae,val_rmse,val_r2,val_corr,val_nrmse,val_mape_score,val_acc_like_0.1,val_acc_like_0.2,val_acc_like_0.3,val_acc_like_0.4,val_acc_like_0.5,lr
1,1,0.8954596742987633,0.6631806045770645,8164305.0,2219.27783203125,2857.3247977785095,0.3349764347076416,0.7197391318825794,0.9167419620845723,0.01488689392940424,0.10575,0.203,0.29975,0.397125,0.4864375,0.001
1,2,0.3977128006517887,0.24879678338766098,3065364.0,1336.2757568359375,1750.8180944918292,0.7503107786178589,0.8700399185105122,0.9489838609150946,0.11505980316927554,0.18125,0.349125,0.4980625,0.6235625,0.7226875,0.001
1,3,0.21809947956353426,0.198512252420187,2447763.0,1177.47021484375,1564.5328376227837,0.8006174564361572,0.8949241214742987,0.9544119260029511,0.08149970348227617,0.2166875,0.4059375,0.5628125,0.6805,0.77125,0.001
1,4,0.197260326705873,0.1913391873240471,2359108.0,1152.6669921875,1535.938800864149,0.8078387975692749,0.8993012505175464,0.955245112135118,0.1051522260220913,0.2195,0.411625,0.5755,0.6925625,0.7805,0.001
1,5,0.19349522003903985,0.1921328343451023,2368720.75,1152.029052734375,1539.064894668188,0.8070558309555054,0.9007911395245137,0.9551540225828675,0.10763541164969055,0.2176875,0.419,0.5751875,0.694375,0.78075,0.001
1,6,0.19087454117834568,0.18633543699979782,2297598.0,1138.3302001953125,1515.7829659948022,0.8128491640090942,0.9017335413948075,0.9558324220779967,0.1218479360821715,0.222625,0.4191875,0.5798125,0.696,0.784375,0.001
1,7,0.18952702591195703,0.1887645162642002,2327852.75,1153.38916015625,1525.730235002243,0.8103847503662109,0.902405956746011,0.9555425740002351,0.1865832106143116,0.22075,0.4111875,0.566375,0.689875,0.7785,0.001
1,8,0.1884574401192367,0.18396136537194252,2268457.5,1133.0113525390625,1506.139933737898,0.8152227401733398,0.9029057806536966,0.9561134051660548,0.1428944918881399,0.2219375,0.4205,0.5815625,0.6969375,0.786375,0.001
1,9,0.18628469062969089,0.18545915186405182,2286663.75,1133.80029296875,1512.1718652322559,0.8137397766113281,0.9032263241667526,0.955937643985019,0.12505362992687963,0.2225,0.423875,0.5799375,0.6995625,0.78775,0.001
1,10,0.18602574849501252,0.18440501764416695,2273839.75,1132.2872314453125,1507.9256447185983,0.8147843480110168,0.9033121437593236,0.9560613723020792,0.09918982402247875,0.221625,0.4200625,0.5791875,0.698375,0.7881875,0.001
1,11,0.18539589224383235,0.18270494416356087,2252995.5,1131.063232421875,1500.9981678869565,0.8164821863174438,0.9038413721581111,0.9562632282930941,0.15835367606478332,0.2214375,0.420125,0.5800625,0.697625,0.787375,0.001
1,12,0.18521764501929283,0.18871395662426949,2326821.5,1143.06201171875,1525.3922446374245,0.8104687333106995,0.9037554024497538,0.9555524225182024,0.09205519821335435,0.2250625,0.4165625,0.574625,0.698,0.784375,0.001
1,13,0.18504136288538575,0.1847907342016697,2279108.5,1140.8040771484375,1509.6716530424753,0.814355194568634,0.9040316055502403,0.9560104963122922,0.13548760016520925,0.223375,0.414875,0.5731875,0.6909375,0.7829375,0.001
1,14,0.18480516551062465,0.18171125277876854,2240933.5,1128.11474609375,1496.9747826867358,0.8174647688865662,0.9041954213347452,0.956380463532787,0.12177058435656953,0.222875,0.4199375,0.5811875,0.6994375,0.7884375,0.001
1,15,0.18302032491192222,0.18116098269820213,2234158.5,1124.5570068359375,1494.7101725752723,0.8180165886878967,0.9044661048102155,0.9564464507788539,0.12474160522185117,0.222,0.421625,0.5840625,0.7001875,0.7893125,0.001
1,16,0.18485290836542845,0.1816752701997757,2240566.0,1128.8692626953125,1496.8520300951593,0.8174946904182434,0.9045245975564681,0.9563840403539912,0.14162612966002805,0.222875,0.42,0.5788125,0.697375,0.7879375,0.001
1,17,0.18329173792153597,0.19149422645568848,2361078.5,1149.7635498046875,1536.5801313306117,0.8076783418655396,0.9042941354244184,0.9552264247544133,0.09195503904276174,0.2230625,0.4146875,0.5734375,0.695375,0.783125,0.001
1,18,0.19224935630336404,0.20160674303770065,2486575.25,1206.0047607421875,1576.887836848265,0.7974559664726257,0.9045228920575592,0.9540519203799432,0.23841897272744894,0.204,0.388375,0.5394375,0.6649375,0.759875,0.001
1,19,0.18741694977506995,0.18122006207704544,2235000.0,1127.0897216796875,1494.9916387726053,0.817948043346405,0.9047309923063647,0.9564382492879532,0.14245837758936866,0.2240625,0.42275,0.58025,0.6979375,0.789375,0.001
1,20,0.18199429055675864,0.18049754202365875,2226053.0,1123.72021484375,1491.9963136683682,0.8186768293380737,0.9048643974455065,0.9565255284419687,0.14637224503185303,0.222125,0.42425,0.5835,0.700875,0.78925,0.001
1,21,0.1822510394267738,0.18032654002308846,2223936.5,1122.219482421875,1491.2868603994336,0.8188492059707642,0.904907444613129,0.9565462008160754,0.12384440199801994,0.2233125,0.424125,0.5834375,0.70025,0.790125,0.001
1,22,0.18153962073847651,0.18079402670264244,2229748.5,1122.861328125,1493.2342415039911,0.818375825881958,0.9048175898435287,0.9564894571340253,0.10586136689475942,0.2261875,0.421125,0.5831875,0.702,0.7881875,0.001
1,23,0.1845904253423214,0.18230656534433365,2248515.5,1133.2633056640625,1499.5050850197208,0.8168471455574036,0.9050549377389315,0.9563067344251474,0.18320480515654883,0.218875,0.418375,0.577625,0.693625,0.7853125,0.001
1,24,0.18132005957886577,0.1801295168697834,2221706.75,1121.56298828125,1490.5390803330183,0.8190308809280396,0.9050167701945108,0.9565679899739515,0.12367922140933257,0.2239375,0.42175,0.5826875,0.7021875,0.7898125,0.001
1,25,0.18343687010928988,0.18243515118956566,2249923.25,1125.530517578125,1499.974416448494,0.8167324662208557,0.9050734535889763,0.9562930588311365,0.11324599713595333,0.2231875,0.4251875,0.5829375,0.703375,0.788,0.001
1,26,0.1811749548651278,0.18254735320806503,2251273.25,1126.41552734375,1500.4243566404805,0.8166224956512451,0.9049976674184925,0.9562799482678594,0.10262072475221362,0.224375,0.423875,0.581625,0.7029375,0.7878125,0.001
1,27,0.18095993157476187,0.18056683614850044,2226911.5,1121.8865966796875,1492.2839877181555,0.8186069130897522,0.905061962207751,0.9565171460638214,0.11271914612271285,0.2236875,0.4244375,0.583125,0.70175,0.7885,0.001
1,28,0.180440628901124,0.17996440455317497,2219817.5,1122.898193359375,1489.90519832639,0.8191847801208496,0.9052512280726622,0.956586460318024,0.13627058660852875,0.2258125,0.42275,0.5831875,0.700875,0.7885625,0.001
1,29,0.1793758454732597,0.17956919968128204,2214746.0,1119.6282958984375,1488.2022711983743,0.8195978403091431,0.905365972670345,0.9566360809882053,0.14064149332869794,0.22475,0.4241875,0.584875,0.7015,0.7898125,0.001
1,30,0.17916284874081612,0.1822843886911869,2248111.25,1124.5888671875,1499.3702844861239,0.8168800473213196,0.9052629413446674,0.956310662304801,0.11405331380264311,0.226125,0.4245625,0.583875,0.7014375,0.7885625,0.001
1,31,0.18237587995827198,0.18432318419218063,2273634.0,1141.51416015625,1507.8574203153294,0.8148010969161987,0.9053539598857363,0.9560633602559717,0.1740484154816339,0.22,0.4145,0.5731875,0.688,0.780375,0.001
1,32,0.18034366564825177,0.18022171780467033,2222721.5,1120.302734375,1490.879438452352,0.8189482092857361,0.9053355194989041,0.9565580724632694,0.13416315257614247,0.221,0.4259375,0.583875,0.702625,0.791,0.001
1,33,0.17979058576747775,0.17991270497441292,2219207.25,1120.4046630859375,1489.7003893400847,0.8192344903945923,0.9054098916566767,0.9565924281360195,0.10969146138188461,0.2233125,0.4246875,0.5839375,0.70275,0.789375,0.001
1,34,0.1801643124781549,0.18026278167963028,2223317.75,1120.5667724609375,1491.0793909111615,0.8188996315002441,0.9054862806384067,0.9565522461569951,0.12046983391475777,0.2238125,0.426125,0.5851875,0.70225,0.790625,0.001
1,35,0.18023351253941655,0.18028460070490837,2223928.75,1125.1063232421875,1491.2842619701987,0.8188498616218567,0.9054022445281279,0.9565462765302959,0.1474383269824149,0.2249375,0.419875,0.581,0.6975625,0.787875,0.0005
1,36,0.17919336492195725,0.1808682456612587,2230687.25,1121.6602783203125,1493.548542900431,0.8182993531227112,0.9054044333448138,0.9564802988760625,0.12361098029193182,0.222,0.425375,0.5855625,0.7021875,0.7905,0.0005
1,37,0.17819985700771213,0.17957941815257072,2215030.5,1119.6007080078125,1488.2978532538439,0.8195746541023254,0.9054657918024482,0.9566332958745198,0.12184036142075899,0.223875,0.4250625,0.5843125,0.7029375,0.7894375,0.0005
1,38,0.1781382360495627,0.18049108609557152,2226180.0,1121.2130126953125,1492.038873488221,0.8186664581298828,0.9054199576579063,0.9565242883144558,0.11411421411803398,0.22425,0.4266875,0.584,0.701875,0.7903125,0.0005
1,39,0.1787689453922212,0.18027598038315773,2223684.0,1125.8560791015625,1491.2021995691932,0.8188697695732117,0.9055114916167148,0.956548667702101,0.15702761456550568,0.2228125,0.4208125,0.58175,0.698,0.7871875,0.0005
1,40,0.1784825176000595,0.17932583764195442,2211899.0,1119.249267578125,1487.2454404031637,0.8198297619819641,0.9054926480249874,0.9566639615619112,0.12488634052672966,0.222875,0.424,0.5835625,0.702,0.78975,0.0005
1,41,0.17830197513103485,0.18089896067976952,2231341.75,1128.3824462890625,1493.767635879155,0.8182460069656372,0.9055149968972073,0.9564739148445573,0.1688080607935432,0.221375,0.418875,0.5813125,0.69575,0.785375,0.0005
1,42,0.1790426908992231,0.1800750568509102,2221299.25,1125.1402587890625,1490.4023785541942,0.8190640211105347,0.9055260695448212,0.956571973252959,0.13065687859852773,0.2244375,0.4183125,0.5825625,0.69825,0.78675,0.0005
1,43,0.17808838421478868,0.17967404425144196,2216105.25,1119.280517578125,1488.6588763044406,0.8194870948791504,0.905495753273432,0.956622776219611,0.12359704390500632,0.2216875,0.42625,0.5853125,0.7023125,0.7909375,0.0005
1,44,0.17774601560086012,0.17927200347185135,2211272.25,1120.3919677734375,1487.0347171468459,0.8198807835578918,0.9055103556772848,0.9566701017126137,0.11438604318701036,0.2285,0.4236875,0.584375,0.7011875,0.7895,0.0005
1,45,0.17875426914542913,0.18008381873369217,2221186.5,1120.525146484375,1490.3645527185622,0.8190732002258301,0.9055027546773449,0.9565730754394726,0.11403962592493463,0.2238125,0.42575,0.5840625,0.7019375,0.7896875,0.0005
1,46,0.17762668896466494,0.17956772446632385,2214845.0,1119.0357666015625,1488.2355324342984,0.8195897936820984,0.9055598790635494,0.9566351118070874,0.130166545240489,0.2223125,0.4250625,0.5854375,0.702125,0.790875,0.0005
1,47,0.17736462829634547,0.18285851553082466,2255260.5,1126.87255859375,1501.7524762756345,0.8162977695465088,0.9053742496016519,0.9562412489099755,0.1066074547624712,0.22775,0.425875,0.5809375,0.701,0.788875,0.0005
1,48,0.17743574315682054,0.18007484450936317,2221363.25,1125.3521728515625,1490.423849111386,0.8190588355064392,0.9056329103160566,0.9565713476340352,0.14339453791878154,0.2253125,0.418375,0.5809375,0.698125,0.78675,0.0005
1,49,0.1782662165351212,0.179134801030159,2209590.75,1118.8428955078125,1486.4692226884483,0.8200177550315857,0.9055880070589715,0.956686579349001,0.12853124259558643,0.2259375,0.42375,0.5843125,0.7010625,0.7896875,0.0005
